TradDt,SYMBOL,ISIN,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal
31-05-2010,RELIANCE,RELIANCE,1149.90,1149.90,1065.40,1070.70,1068.70,1075.50,4890040,5271634145.00
31-05-2010,HDFCBANK,HDFCBANK,1710.00,1725.00,1705.00,1707.20,1705.00,1705.70,838660,1437405390.00
31-05-2010,BHARTIARTL,BHARTIARTL,328.25,332.00,325.50,330.35,330.65,325.20,4302024,1416923855.00
31-05-2010,TCS,TCS,755.00,759.55,746.55,751.85,748.70,751.65,1007244,756969381.70
31-05-2010,ICICIBANK,ICICIBANK,888.00,899.75,881.50,888.05,887.25,879.70,2665454,2368571771.00
31-05-2010,SBIN,SBIN,2308.00,2310.00,2280.10,2292.05,2294.00,2291.20,1161374,2662775674.00
31-05-2010,HINDUNILVR,HINDUNILVR,265.75,266.40,262.50,263.85,263.30,264.70,1392726,367440410.30
31-05-2010,LT,LT,1705.00,1710.40,1684.15,1694.40,1690.55,1691.40,1192884,2022382256.00
31-05-2010,ITC,ITC,254.80,256.75,252.70,256.15,256.05,253.65,3589075,913702386.20
31-05-2010,MARUTI,MARUTI,1563.50,1567.55,1510.00,1515.85,1516.20,1551.45,1407407,2153559340.00
31-05-2010,M&M,M&M,1135.00,1176.00,1121.00,1150.65,1154.90,1129.85,1299341,1504982833.00
31-05-2010,HCLTECH,HCLTECH,372.50,381.00,370.55,379.45,379.45,371.10,1259474,474241084.20
31-05-2010,KOTAKBANK,KOTAKBANK,827.00,833.70,821.10,831.05,830.50,822.90,355682,294492858.70
31-05-2010,SUNPHARMA,SUNPHARMA,1522.00,1558.80,1513.05,1552.65,1555.00,1507.35,123199,188624605.80
31-05-2010,AXISBANK,AXISBANK,998.00,1020.00,995.70,1012.80,1014.15,992.10,1525876,1544129676.00
31-05-2010,ULTRACEMCO,ULTRACEMCO,970.00,990.00,970.00,986.10,987.00,966.10,399360,391803115.40
31-05-2010,BAJAJFINSV,BAJAJFINSV,365.00,371.70,357.05,360.25,358.60,359.45,192143,70037305.85
31-05-2010,TITAN,TITAN,1449.00,1462.00,1424.00,1450.65,1447.50,1421.50,64133,92939778.10
31-05-2010,NTPC,NTPC,234.20,234.85,228.15,229.30,230.00,231.85,6832948,1576766877.00
