Sr. No.,Company name,ISIN,BSE_symb, BSE_mark_cap ,NSE_symb, NSE_mark_cap ,Category,Industry_Classification,Issuer_Type,Corporate_Office_City,Zone,
1,Reliance Industries Ltd,INE002A01018,RELIANCE," 19,70,806.49 ",RELIANCE," 19,70,787.69 ",Large Cap,"Oil, Gas & Consumable Fuels",Private,Mumbai,West,
2,HDFC Bank Ltd.,INE040A01034,HDFCBANK," 15,16,760.98 ",HDFCBANK," 15,15,580.90 ",Large Cap,Financial Services,Private,Mumbai,West,
3,Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL," 11,95,614.68 ",BHARTIARTL," 11,95,675.69 ",Large Cap,Telecommunication,Private,New Delhi,North,
4,Tata Consultancy Services Ltd.,INE467B01029,TCS," 11,29,582.00 ",TCS," 11,29,555.15 ",Large Cap,Information Technology,Private,Mumbai,West,
5,ICICI Bank Ltd.,INE090A01021,ICICIBANK," 9,99,123.08 ",ICICIBANK," 9,98,630.64 ",Large Cap,Financial Services,Private,Mumbai,West,
6,State Bank Of India,INE062A01020,SBIN," 8,09,938.33 ",SBIN," 8,00,557.85 ",Large Cap,Financial Services,Public,Mumbai,West,
7,Infosys Ltd,INE009A01021,INFY," 6,35,239.14 ",INFY," 6,35,103.55 ",Large Cap,Information Technology,Private,Bengaluru,South,
8,Bajaj Finance Limited,INE296A01032,BAJFINANCE," 6,08,134.07 ",BAJFINANCE," 6,07,992.94 ",Large Cap,Financial Services,Private,Pune,West,
9,Life Insurance Corporation of India,INE0J1Y01017,LICI," 5,65,211.08 ",LICI," 5,65,259.02 ",Large Cap,Financial Services,Public,Mumbai,West,
10,Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR," 5,38,817.41 ",HINDUNILVR," 5,38,863.09 ",Large Cap,Fast Moving Consumer Goods,Private,Mumbai,West,
11,Larsen & Toubro Limited,INE018A01030,LT," 5,18,705.11 ",LT," 5,18,763.28 ",Large Cap,Construction,Private,Mumbai,West,
12,ITC Ltd,INE154A01025,ITC," 5,11,810.19 ",ITC," 5,11,626.19 ",Large Cap,Fast Moving Consumer Goods,Private,Kolkata,East,
13,Maruti Suzuki India  Ltd.,INE585B01010,MARUTI," 4,70,436.83 ",MARUTI," 4,70,458.29 ",Large Cap,Automobile & Auto Components,Private,New Delhi,North,
14,Mahindra & Mahindra Ltd.,INE101A01026,M&M," 4,31,855.41 ",M&M," 4,31,885.95 ",Large Cap,Automobile & Auto Components,Private,Mumbai,West,
15,HCL Technologies Ltd,INE860A01027,HCLTECH," 4,18,792.29 ",HCLTECH," 4,18,769.14 ",Large Cap,Information Technology,Private,Noida,North,
16,Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK," 4,15,421.99 ",KOTAKBANK," 4,15,412.27 ",Large Cap,Financial Services,Private,Mumbai,West,
17,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA," 4,04,420.99 ",SUNPHARMA," 4,04,406.96 ",Large Cap,Healthcare,Private,Mumbai,West,
18,AXIS Bank Ltd.,INE238A01034,AXISBANK," 3,63,130.14 ",AXISBANK," 3,63,033.27 ",Large Cap,Financial Services,Private,Mumbai,West,
19,UltraTech Cement Ltd,INE481G01011,ULTRACEMCO," 3,58,018.85 ",ULTRACEMCO," 3,58,045.48 ",Large Cap,Construction Materials,Private,Mumbai,West,
20,Bajaj Finserv Limited,INE918I01026,BAJAJFINSV," 3,24,489.30 ",BAJAJFINSV," 3,24,505.59 ",Large Cap,Financial Services,Private,Pune,West,
21,Titan Company Limited,INE280A01028,TITAN," 3,23,564.13 ",TITAN," 3,23,613.06 ",Large Cap,Consumer Durables,Private,Bengaluru,South,
22,NTPC Limited,INE733E01010,NTPC," 3,23,250.29 ",NTPC," 3,23,233.75 ",Large Cap,Power,Public,New Delhi,North,
23,Hindustan Aeronautics Limited,INE066F01020,HAL," 3,09,430.25 ",HAL," 3,09,448.61 ",Large Cap,Capital Goods,Public,Bengaluru,South,
24,Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS," 3,08,622.99 ",ADANIPORTS," 3,08,664.31 ",Large Cap,Services,Private,Ahmedabad,West,
25,Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC," 3,03,870.15 ",ONGC," 3,03,876.34 ",Large Cap,"Oil, Gas & Consumable Fuels",Public,New Delhi,North,
26,Eternal Limited,INE758T01015,ETERNAL," 2,97,118.98 ",ETERNAL," 2,97,138.51 ",Large Cap,Information Technology,Private,Gurugram,North,
27,Bharat Electronics Ltd.,INE263A01024,BEL," 2,93,001.17 ",BEL," 2,93,011.61 ",Large Cap,Capital Goods,Public,Bengaluru,South,
28,Adani Enterprises Ltd.,INE423A01024,ADANIENT," 2,84,353.71 ",ADANIENT," 2,79,044.81 ",Large Cap,Metals & Mining,Private,Ahmedabad,West,
29,Avenue Supermarts Limited,INE192R01011,DMART," 2,75,699.87 ",DMART," 2,75,707.96 ",Large Cap,Consumer Services,Private,Mumbai,West,
30,JSW Steel Limited,INE019A01038,JSWSTEEL," 2,70,427.03 ",JSWSTEEL," 2,70,419.85 ",Large Cap,Metals & Mining,Private,Mumbai,West,
31,Adani Power Limited,INE814H01029,ADANIPOWER," 2,64,347.71 ",ADANIPOWER," 2,64,360.10 ",Large Cap,Power,Private,Ahmedabad,West,
32,Wipro  Ltd.,INE075A01022,WIPRO," 2,63,358.28 ",WIPRO," 2,63,356.98 ",Large Cap,Information Technology,Private,Bengaluru,South,
33,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID," 2,62,670.09 ",POWERGRID," 2,62,651.64 ",Large Cap,Power,Public,Gurugram,North,
34,Asian Paints Ltd.,INE021A01026,ASIANPAINT," 2,46,424.12 ",ASIANPAINT," 2,46,425.22 ",Large Cap,Consumer Durables,Private,Mumbai,West,
35,Bajaj Auto Limited,INE917I01010,BAJAJ-AUTO," 2,45,111.96 ",BAJAJ-AUTO," 2,45,143.41 ",Large Cap,Automobile & Auto Components,Private,Pune,West,
36,Coal India Limited,INE522F01014,COALINDIA," 2,37,343.05 ",COALINDIA," 2,37,339.14 ",Large Cap,"Oil, Gas & Consumable Fuels",Public,Kolkata,East,
37,Nestle India Ltd.,INE239A01024,NESTLEIND," 2,33,639.46 ",NESTLEIND," 2,33,662.03 ",Large Cap,Fast Moving Consumer Goods,Private,Gurugram,North,
38,InterGlobe Aviation Limited,INE646L01027,INDIGO," 2,19,754.62 ",INDIGO," 2,19,787.15 ",Large Cap,Services,Private,Gurugram,North,
39,Indian Oil Corporation Ltd.,INE242A01010,IOC," 2,16,854.59 ",IOC," 2,16,884.51 ",Large Cap,"Oil, Gas & Consumable Fuels",Public,New Delhi,North,
40,TATA STEEL LIMITED,INE081A01020,TATASTEEL," 2,09,335.94 ",TATASTEEL," 2,09,360.74 ",Large Cap,Metals & Mining,Private,Mumbai,West,
41,Hindustan Zinc Ltd.,INE267A01025,HINDZINC," 2,00,291.02 ",HINDZINC," 2,00,313.15 ",Large Cap,Metals & Mining,Private,Udaipur,North,
42,Jio Financial Services Limited,INE758E01017,JIOFIN," 1,97,591.78 ",JIOFIN," 1,97,608.17 ",Large Cap,Financial Services,Private,Mumbai,West,
43,HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,HYUNDAI," 1,90,810.38 ",HYUNDAI," 1,90,815.28 ",Large Cap,Automobile & Auto Components,Private,Gurugram,North,
44,Grasim Industries Ltd,INE047A01021,GRASIM," 1,90,057.04 ",GRASIM," 1,90,074.68 ",Large Cap,Textiles,Private,Mumbai,West,
45,SBI Life Insurance Company Limited,INE123W01016,SBILIFE," 1,89,233.49 ",SBILIFE," 1,89,234.15 ",Large Cap,Financial Services,Private,Mumbai,West,
46,Vedanta Limited,INE205A01025,VEDL," 1,88,331.12 ",VEDL," 1,88,351.60 ",Large Cap,Metals & Mining,Private,Mumbai,West,
47,DLF LIMITED,INE271C01023,DLF," 1,87,698.27 ",DLF," 1,87,715.12 ",Large Cap,Realty,Private,New Delhi,North,
48,Eicher Motors Ltd.,INE066A01021,EICHERMOT," 1,79,560.40 ",EICHERMOT," 1,79,584.54 ",Large Cap,Automobile & Auto Components,Private,New Delhi,North,
49,Trent Ltd [Lakme Ltd],INE849A01020,TRENT," 1,73,112.36 ",TRENT," 1,73,133.76 ",Large Cap,Consumer Services,Private,Mumbai,West,
50,Hindalco Industries Ltd.,INE038A01020,HINDALCO," 1,70,768.88 ",HINDALCO," 1,70,787.34 ",Large Cap,Metals & Mining,Private,Mumbai,West,
51,Divi's Laboratories Ltd.,INE361B01024,DIVISLAB," 1,69,468.93 ",DIVISLAB," 1,69,472.19 ",Large Cap,Healthcare,Private,Hyderabad,South,
52,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE," 1,64,675.65 ",HDFCLIFE," 1,64,620.82 ",Large Cap,Financial Services,Private,Mumbai,West,
53,LTIMindtree Limited,INE214T01019,LTIM," 1,63,646.75 ",LTIM," 1,63,636.65 ",Large Cap,Information Technology,Private,Mumbai,West,
54,Indian Railway Finance Corporation,INE053F01010,IRFC," 1,63,095.99 ",IRFC," 1,63,104.08 ",Large Cap,Financial Services,Public,New Delhi,North,
55,Adani Green Energy Limited,INE364U01010,ADANIGREEN," 1,63,194.78 ",ADANIGREEN," 1,62,844.92 ",Large Cap,Power,Private,Ahmedabad,West,
56,Varun Beverages Limited,INE200M01039,VBL," 1,60,499.84 ",VBL," 1,60,506.28 ",Large Cap,Fast Moving Consumer Goods,Private,Gurugram,North,
57,TVS Motor Company Ltd.,INE494B01023,TVSMOTOR," 1,58,852.14 ",TVSMOTOR," 1,58,857.10 ",Large Cap,Automobile & Auto Components,Private,Chennai,South,
58,Pidilite Industries Ltd.,INE318A01026,PIDILITIND," 1,52,292.46 ",PIDILITIND," 1,52,306.18 ",Large Cap,Chemicals,Private,Mumbai,West,
59,Bharat Petroleum Corpn. Ltd.,INE029A01011,BPCL," 1,48,424.54 ",BPCL," 1,48,449.37 ",Large Cap,"Oil, Gas & Consumable Fuels",Public,Mumbai,West,
60,Tech Mahindra Limited,INE669C01036,TECHM," 1,47,723.94 ",TECHM," 1,47,707.03 ",Large Cap,Information Technology,Private,Pune,West,
61,Bajaj Holdings & Investment Limited,INE118A01012,BAJAJHLDNG," 1,41,510.23 ",BAJAJHLDNG," 1,41,544.23 ",Large Cap,Financial Services,Private,Pune,West,
62,Britannia Industries Ltd.,INE216A01030,BRITANNIA," 1,41,269.72 ",BRITANNIA," 1,41,277.57 ",Large Cap,Fast Moving Consumer Goods,Private,Bengaluru,South,
63,Ambuja Cements Ltd.,INE079A01024,AMBUJACEM," 1,40,891.14 ",AMBUJACEM," 1,40,858.10 ",Large Cap,Construction Materials,Private,Mumbai,West,
64,Tata Capital Limited,INE976I01016,TATACAP," 1,38,787.15 ",TATACAP," 1,38,783.29 ",Large Cap,Financial Services,Private,Mumbai,West,
65,TATA MOTORS PASSENGER VEHICLES LIMITED,INE155A01022,TMPV," 1,38,377.24 ",TMPV," 1,38,382.08 ",Large Cap,Automobile & Auto Components,Private,Mumbai,West,
66,Bank Of Baroda,INE028A01039,BANKBARODA," 1,35,270.73 ",BANKBARODA," 1,35,283.90 ",Large Cap,Financial Services,Public,Vadodara,West,
67,Cholamandalam Investment and Finance Company Ltd,INE121A01024,CHOLAFIN," 1,34,986.51 ",CHOLAFIN," 1,34,895.46 ",Large Cap,Financial Services,Private,Chennai,South,
68,Shriram Finance Limited,INE721A01047,SHRIRAMFIN," 1,34,243.22 ",SHRIRAMFIN," 1,34,229.53 ",Large Cap,Financial Services,Private,Chennai,South,
69,Tata Motors Limited,INE1TAE01010,TMCV," 1,33,977.94 ",TMCV," 1,33,946.91 ",Large Cap,Automobile & Auto Components,Private,Mumbai,West,
70,Punjab National Bank,INE160A01022,PNB," 1,30,928.80 ",PNB," 1,30,939.29 ",Large Cap,Financial Services,Public,New Delhi,North,
71,ICICI Prudential Asset Management Company Limited,INE346A01027,ICICIAMC," 1,29,961.88 ",ICICIAMC," 1,29,972.07 ",Large Cap,Financial Services,Private,Mumbai,West,
72,Power Finance Corporation Ltd,INE134E01011,PFC," 1,29,277.43 ",PFC," 1,29,271.27 ",Large Cap,Financial Services,Public,New Delhi,North,
73,Solar Industries India Limited,INE343H01029,SOLARINDS," 1,27,236.78 ",SOLARINDS," 1,27,241.23 ",Large Cap,Chemicals,Private,Nagpur,West,
74,MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN," 1,25,431.07 ",MUTHOOTFIN," 1,25,444.22 ",Large Cap,Financial Services,Private,Kochi,South,
75,Tata Power Co. Ltd,INE245A01021,TATAPOWER," 1,24,846.99 ",TATAPOWER," 1,24,860.56 ",Large Cap,Power,Private,Mumbai,West,
76,Cipla Ltd.,INE059A01026,CIPLA," 1,23,546.65 ",CIPLA," 1,23,553.81 ",Large Cap,Healthcare,Private,Mumbai,West,
77,Torrent Pharmaceuticals Ltd.,INE685A01028,TORNTPHARM," 1,22,668.10 ",TORNTPHARM," 1,22,688.08 ",Large Cap,Healthcare,Private,Ahmedabad,West,
78,Godrej Consumer Products Ltd.,INE102D01028,GODREJCP," 1,21,715.49 ",GODREJCP," 1,21,701.32 ",Large Cap,Fast Moving Consumer Goods,Private,Mumbai,West,
79,Lodha Developers Limited,INE670K01029,LODHA," 1,20,421.65 ",LODHA," 1,20,401.05 ",Large Cap,Realty,Private,Mumbai,West,
80,HDFC Asset Management Company Limited,INE127D01025,HDFCAMC," 1,17,500.29 ",HDFCAMC," 1,17,480.14 ",Large Cap,Financial Services,Private,Mumbai,West,
81,Gail (India) Ltd.,INE129A01019,GAIL," 1,17,132.53 ",GAIL," 1,17,138.27 ",Large Cap,Utilities,Public,New Delhi,North,
82,Canara Bank,INE476A01022,CANBK," 1,14,295.61 ",CANBK," 1,14,315.04 ",Large Cap,Financial Services,Public,Bengaluru,South,
83,Max Healthcare Institute Limited,INE027H01010,MAXHEALTH," 1,13,898.16 ",MAXHEALTH," 1,13,887.31 ",Large Cap,Healthcare,Private,New Delhi,North,
84,Siemens Energy India Limited,INE1NPP01017,ENRIN," 1,12,972.26 ",ENRIN," 1,12,966.29 ",Large Cap,Capital Goods,Private,Mumbai,West,
85,Siemens Ltd.,INE003A01024,SIEMENS," 1,12,489.54 ",SIEMENS," 1,12,488.49 ",Large Cap,Capital Goods,Private,Mumbai,West,
86,Mazagon Dock Shipbuilders Limited,INE249Z01020,MAZDOCK," 1,12,305.49 ",MAZDOCK," 1,12,306.27 ",Large Cap,Capital Goods,Public,Mumbai,West,
87,Bosch Ltd,INE323A01026,BOSCHLTD," 1,12,075.27 ",BOSCHLTD," 1,12,069.75 ",Large Cap,Automobile & Auto Components,Private,Bengaluru,South,
88,ABB India Limited,INE117A01022,ABB," 1,11,551.92 ",ABB," 1,11,557.90 ",Large Cap,Capital Goods,Private,Bengaluru,South,
